height,width,l_size,total_exec,kernel_exec,bandwidth,throughput,memory_footprint
1280,720,8,3.27888,0.015198,2.42558e+11,6.06396e+10,7.3728
1280,720,16,3.55679,0.015431,2.38896e+11,5.97239e+10,7.3728
1280,720,16,3.31496,0.014946,2.46648e+11,6.1662e+10,7.3728
1280,720,16,3.18858,0.014932,2.46879e+11,6.17198e+10,7.3728
1280,720,16,3.26221,0.014987,2.45973e+11,6.14933e+10,7.3728
1280,720,16,3.19787,0.015279,2.41272e+11,6.03181e+10,7.3728
1024,1024,2,8.17133,0.130189,3.2217e+10,8.05426e+09,8.38861
1024,1024,2,8.27725,0.13026,3.21995e+10,8.04987e+09,8.38861
1024,1024,2,7.88725,0.130139,3.22294e+10,8.05735e+09,8.38861
1024,1024,2,7.96321,0.12912,3.24838e+10,8.12094e+09,8.38861
1024,1024,2,8.02696,0.129609,3.23612e+10,8.0903e+09,8.38861
1024,1024,4,4.15412,0.033959,1.23511e+11,3.08777e+10,8.38861
1024,1024,4,4.00129,0.033297,1.25966e+11,3.14916e+10,8.38861
1024,1024,4,3.94558,0.032811,1.27832e+11,3.19581e+10,8.38861
1024,1024,4,3.97896,0.03349,1.2524e+11,3.13101e+10,8.38861
1024,1024,4,4.29917,0.035272,1.18913e+11,2.97283e+10,8.38861
1024,1024,8,3.40725,0.017358,2.41635e+11,6.04088e+10,8.38861
1024,1024,8,3.39412,0.017034,2.46231e+11,6.15578e+10,8.38861
1024,1024,8,3.26158,0.017177,2.44181e+11,6.10454e+10,8.38861
1024,1024,8,3.16004,0.017094,2.45367e+11,6.13418e+10,8.38861
1024,1024,8,3.31783,0.017286,2.42642e+11,6.06604e+10,8.38861
1024,1024,16,3.36446,0.016957,2.47349e+11,6.18374e+10,8.38861
1024,1024,16,3.62329,0.016954,2.47393e+11,6.18483e+10,8.38861
1024,1024,16,3.86379,0.016959,2.4732e+11,6.18301e+10,8.38861
1024,1024,16,3.50067,0.017544,2.39073e+11,5.97684e+10,8.38861
1024,1024,16,3.45121,0.01717,2.44281e+11,6.10702e+10,8.38861
4096,2048,2,38.1539,0.517107,6.48888e+10,1.62222e+10,67.1089
4096,2048,2,40.6345,0.573651,5.84928e+10,1.46232e+10,67.1089
4096,2048,2,35.9092,0.494886,6.78023e+10,1.69506e+10,67.1089
4096,2048,2,36.854,0.508881,6.59377e+10,1.64844e+10,67.1089
4096,2048,2,37.2612,0.515582,6.50807e+10,1.62702e+10,67.1089
4096,2048,4,25.7,0.230901,1.4532e+11,3.63299e+10,67.1089
4096,2048,4,37.5763,0.258508,1.298e+11,3.24501e+10,67.1089
4096,2048,4,28.9144,0.258384,1.29863e+11,3.24657e+10,67.1089
4096,2048,4,30.7701,0.243771,1.37647e+11,3.44118e+10,67.1089
4096,2048,4,27.2306,0.259128,1.2949e+11,3.23724e+10,67.1089
4096,2048,8,21.7033,0.134466,2.49538e+11,6.23846e+10,67.1089
4096,2048,8,21.9271,0.136381,2.46035e+11,6.15086e+10,67.1089
4096,2048,8,21.8902,0.136436,2.45935e+11,6.14838e+10,67.1089
4096,2048,8,22.3932,0.135999,2.46726e+11,6.16814e+10,67.1089
4096,2048,8,23.4048,0.134482,2.49509e+11,6.23772e+10,67.1089
4096,2048,16,21.8087,0.134883,2.48767e+11,6.21917e+10,67.1089
4096,2048,16,22.7739,0.134166,2.50096e+11,6.25241e+10,67.1089
4096,2048,16,22.5727,0.134797,2.48926e+11,6.22314e+10,67.1089
4096,2048,16,21.8963,0.134927,2.48686e+11,6.21715e+10,67.1089
4096,2048,16,22.5187,0.134384,2.49691e+11,6.24227e+10,67.1089
