Executable,Matrix Size,mean_real_time,std_real_time,mean_user_time,std_user_time,mean_system_time,std_system_time
my_eigen_matmult_O2,100,0.004,0.0051639777949432225,0.0,0.0,0.0,0.0
my_eigen_matmult_O2,250,0.019999999999999997,0.010540925533894598,0.012,0.007888106377466156,0.006,0.0051639777949432225
my_eigen_matmult_O2,500,0.07,0.0,0.061,0.007378647873726222,0.004,0.0051639777949432225
my_eigen_matmult_O2,600,0.092,0.006324555320336762,0.078,0.009189365834726808,0.01,0.008164965809277261
my_eigen_matmult_O2,700,0.083,0.006749485577105528,0.074,0.009660917830792957,0.003,0.00483045891539648
my_eigen_matmult_O2,800,0.12,0.012472191289246476,0.11200000000000002,0.011352924243950933,0.006,0.0051639777949432225
my_eigen_matmult_O2,900,0.168,0.015491933384829664,0.151,0.01663329993316619,0.008,0.006324555320336759
my_eigen_matmult_O2,1000,0.248,0.006324555320336762,0.21800000000000003,0.01032795558988645,0.024,0.006992058987801011
my_eigen_matmult_O2,1500,0.7,0.010540925533894593,0.667,0.013374935098492585,0.028999999999999998,0.00994428926011753
my_eigen_matmult_O2,2000,1.6030000000000002,0.03497618237219908,1.54,0.030550504633038947,0.05800000000000001,0.014757295747452437
