Executable,Matrix Size,mean_real_time,std_real_time,mean_user_time,std_user_time,mean_system_time,std_system_time
my_eigen_matmult_O3,100,0.004,0.0051639777949432225,0.001,0.00316227766016838,0.001,0.00316227766016838
my_eigen_matmult_O3,250,0.023,0.006749485577105528,0.014000000000000002,0.0051639777949432225,0.001,0.0031622776601683794
my_eigen_matmult_O3,500,0.069,0.00567646212197547,0.05800000000000001,0.007888106377466156,0.008,0.0042163702135578395
my_eigen_matmult_O3,600,0.08299999999999999,0.006749485577105524,0.072,0.010327955589886445,0.004,0.0051639777949432225
my_eigen_matmult_O3,700,0.082,0.004216370213557835,0.069,0.0031622776601683824,0.005,0.005270462766947299
my_eigen_matmult_O3,800,0.12,0.012472191289246476,0.11300000000000002,0.011595018087284055,0.004,0.0051639777949432225
my_eigen_matmult_O3,900,0.161,0.007378647873726216,0.148,0.010327955589886445,0.007000000000000001,0.00483045891539648
my_eigen_matmult_O3,1000,0.251,0.013703203194062994,0.21200000000000002,0.009189365834726805,0.032,0.007888106377466154
my_eigen_matmult_O3,1500,0.707,0.029832867780352604,0.672,0.033598941782277736,0.03,0.008164965809277261
my_eigen_matmult_O3,2000,1.609,0.038715486421958864,1.548,0.03881580434135901,0.059,0.009944289260117532
