Threads,Execution Time (s)
1,5.701435565
1,5.7263185
1,5.652264854
1,5.548678034
1,5.866246196
2,2.91367579
2,2.900733349
2,2.874154382
2,2.851978232
2,2.891718854
4,1.532445024
4,1.553055286
4,1.511792499
4,1.526178772
4,1.509288696
8,1.662708679
8,1.666276514
8,1.653008701
8,1.66008818
8,1.741990534
16,1.696532896
16,1.698417405
16,1.696268624
16,1.667007427
16,1.711989649
