Executable,Matrix Size,mean_real_time,std_real_time,mean_user_time,std_user_time,mean_system_time,std_system_time
standard_matrix_heap,100,0.002,0.004216370213557839,0.001,0.00316227766016838,0.0,0.0
standard_matrix_heap,250,0.094,0.00966091783079296,0.091,0.003162277660168383,0.0,0.0
standard_matrix_heap,500,0.76,0.0,0.76,0.0,0.0,0.0
standard_matrix_heap,600,1.356,0.010749676997731368,1.3510000000000002,0.005676462121975487,0.0,0.0
standard_matrix_heap,700,2.166,0.006992058987800998,2.16,0.0,0.0,0.0
standard_matrix_heap,800,3.242,0.007888106377466054,3.2340000000000004,0.008432740427115707,0.0,0.0
standard_matrix_heap,900,4.662000000000001,0.016865480854231462,4.647,0.009486832980505193,0.0,0.0
standard_matrix_heap,1000,6.929,0.1664298317276349,6.915000000000001,0.16781272630855815,0.0,0.0
standard_matrix_heap,1500,27.758999999999997,6.174259199828483,25.72,0.727186358507914,0.013000000000000001,0.00483045891539648
standard_matrix_heap,2000,246.152,280.33450442878654,120.173,4.699305031361313,0.037,0.008232726023485647
