width_height,bandwidth,throughput,memory_footprint
1024x1024,239484600000.0,59871200000.0,8.38861
2048x4096,248494000000.0,62123460000.0,67.1089
256x256,202064000000.0,50515980000.0,0.524288
256x512,223294800000.0,55823700000.0,1.04858
512x512,236667800000.0,59166960000.0,2.09715
720x1280,242453400000.0,60613380000.0,7.3728
