width_height,total_exec,kernel_exec
1024x1024,192.7936,186.7376
2048x4096,1604.2939999999999,1557.606
256x256,14.3216,12.944460000000001
256x512,25.56794,24.51818
512x512,49.27964,47.46212
720x1280,170.1112,164.6058
